0	Connective 1	Connective
1	Mesenchyme Hox	Mesenchyme Hox
2	Dermal mesenchyme	Dermal mesenchyme
3	Mesenchyme Vav3	Mesenchyme Vav3
4	Mesenchyme Dlx lower	Mesenchyme Dlx lower
5	Mesenchyme Progenitor Sox5	Mesenchyme Progenitor Sox5
6	Chondrocyte	Chondrocyte
7	Osteoprogenitor Sox6Runx2	Osteoprogenitor
8	Osteoprogenitor Runx2Msx1	Osteoprogenitor
9	Fibroblast Hoxd1Haglr	Fibroblasts
10	Dental mesenchyme incisor 1	Dental mesenchyme incisor
11	Fibroblast 1	Fibroblasts
12	Nasal mesenchyme	Nasal mesenchyme
13	Fibroblast Osr2Bmp5	Fibroblasts
14	Fibroblast other	Fibroblasts
15	Chondroblast	Chondroblast
16	Periocular mesenchyme	Periocular mesenchyme
17	Mesenchyme Dlx Middle 	Mesenchyme Dlx Middle 
18	Mesenchyme Side Thbs4 	Mesenchyme Side Thbs4 
19	Dental mesenchyme	Dental mesenchyme
20	Tongue mesenchyme	Tongue mesenchyme
21	Dental mesenchyme incisor 2	Dental mesenchyme incisor
22	Mesenchyme Sh3gl3	Mesenchyme Sh3gl3
23	Mesenchyme Tbx1	Mesenchyme Tbx1
24	Dermal fibroblast	Dermal fibroblast
25	Perivascular	Perivascular
26	Osteoblast	Osteoblast
27	Meningeal fibroblast	Meningeal fibroblast
28	Mesenchyme Pitx1Barx1	Mesenchyme Pitx1Barx1
29	Chondroprogenitors	Chondroprogenitors
30	MSC	MSC
31	Osteoprogenitor	Osteoprogenitor
32	Mesenchyme NR2F1a	Mesenchyme NR2F1a
33	Mesenchyme NR2F2b	Mesenchyme NR2F2b
