0	CNS progenitors 1	CNS progenitors
1	Pou3f1	Pou3f1
2	Neurod6	Neurod6
3	Glia Sox8	Glia
4	CNS Glu Peg3	CNS Glu
5	CNS progenitors 2	CNS progenitors
6	CNS Neuron ASCL1	CNS Neuron
7	Neurod6	Neurod6
8	CNS Glu	CNS Glu
9	Neuroepithelial Homer2	Neuroepithelial
10	CNS Neuron Lamp5	CNS Neuron
11	CNS Glu Meis2	CNS Glu
12	Neuroepithelial Eya2	Neuroepithelial
13	CNS Glu Meis2	CNS Glu
14	Erbb4 Hoxb8	Erbb4 Hoxb8
15	CNS Glu middle	CNS Glu
16	Neuroepithelial	Neuroepithelial
17	Chchd10	Chchd10
18	Rax	Rax
19	CNS Neuron LHX9	CNS Neuron
20	CNS Neuron LHX9	CNS Neuron
21	CNS Neuron Lamp5	CNS Neuron
22	Glia 2	Glia
23	Sympathetic	Sympathetic
24	Melanocytes	Melanocytes
25	CNS Neuron LHX9	CNS Neuron
26	Retinal ganglion	Retinal ganglion
27	Neuroepithelial Eya2	Neuroepithelial
28	Sensory A	Sensory A
29	Parasympathetic	Parasympathetic
30	Otp Cartpt	Otp Cartpt
31	CNS Glu Meis2	CNS Glu
