0	Neuron autonomic sympathetic	Neuron autonomic
1	Glia sensory satellite	Glia
2	Glia NMJ	Glia
3	Glia Cxcl12	Glia
4	Glia Phox2b	Glia
5	Glia Schwann	Glia
6	Glia sensory satellite 2	Glia
7	Chromaffin	Chromaffin
8	Glia SCP	Glia
9	Doublet	Doublet
10	Autonomic bridge	Autonomic bridge
11	Autonomic HOXB	Autonomic HOXB
12	Glia sensory BCC	Glia
13	Glia SCP	Glia
14	Chromaffin bridge	Chromaffin
15	Neuron autonomic	Neuron autonomic
16	Neuron autonomic parasympathetic	Neuron autonomic
17	Doublet	Doublet
18	Doublet	Doublet
